DATE,STA1,STA2,STA3,STA4,STA5,STA6,STA7,STA8,STA9,STA10,STA11,STA12,STA13,STA14,STA15,STA16,STA17,STA19,STA20,STA21,STAHQ
081202,-99,10,-99,-99,-99,-99,-99,-99,21,-99,-99,-99,-99,-99,-99,-99,14,24,-99,-99,0,,,
110412,-99,0,-99,-99,-99,-99,-99,-99,59,-99,-99,-99,-99,-99,-99,-99,98,71,-99,-99,0,,,
110418,-99,0,-99,-99,-99,-99,-99,-99,33,-99,-99,-99,-99,-99,-99,-99,98,49,-99,-99,0,,,
110425,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,95,30,-99,-99,0,,,
110502,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,35,0,-99,-99,0,,,
110510,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0,,,
111227,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0,,,
120103,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0,,,
120109,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0,,,
120118,-99,9,-99,-99,-99,-99,-99,-99,17,-99,-99,-99,-99,-99,-99,-99,26,33,-99,-99,5,,,
120123,-99,12,-99,-99,-99,-99,-99,-99,15,-99,-99,-99,-99,-99,-99,-99,26,21,-99,-99,7,,,
120130,-99,21,-99,-99,-99,-99,-99,-99,29,-99,-99,-99,-99,-99,-99,-99,26,37,-99,-99,11,,,
120206,-99,16,-99,-99,-99,-99,-99,-99,25,-99,-99,-99,-99,-99,-99,-99,41,33,-99,-99,13,,,
120213,-99,19,-99,-99,-99,-99,-99,-99,30,-99,-99,-99,-99,-99,-99,-99,40,38,-99,-99,9,,,
120221,-99,19,-99,-99,-99,-99,-99,-99,37,-99,-99,-99,-99,-99,-99,-99,34,39,-99,-99,1,,,
120227,-99,27,-99,-99,-99,-99,-99,-99,36,-99,-99,-99,-99,-99,-99,-99,49,49,-99,-99,10,,,
120306,-99,36,-99,-99,-99,-99,-99,-99,50,-99,-99,-99,-99,-99,-99,-99,34,49,-99,-99,20,,,
120312,-99,34,-99,-99,-99,-99,-99,-99,39,-99,-99,-99,-99,-99,-99,-99,50,42,-99,-99,6,,,
120319,-99,0,-99,-99,-99,-99,-99,-99,4,-99,-99,-99,-99,-99,-99,-99,33,13,-99,-99,0,,,
120326,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0,,,
